text;created_at;user_name;comment_number;retweet_number;quote_tweet_number;like_number
Job Alert!  We are looking for a Legal Expert in Clinical Research to join our non-profit organisation in Brussels!   Interested to join the #CancerResearch field? Apply now!  👉;01/04/2022;Nolan2014;0;0;0;0
Dive into the great science presented on the posters on the online platform. Not to be missed: Results of Oligocare: Real-world patient &amp  treatment characteristics of oligometastatic disease, by Matthias Guckenberger highlighting the ESTRO-@EORTC collaboration @Mat_Guc ;01/02/2022;Simon2013;0;0;0;0
Don't miss out on @EORTC fellow Marjan Sharabiani's presentation tomorrow at @ESTRO_RT on Bias and reporting quality of artificial intelligence models in radiotherapy treatment planning!  🕐 08:45 - 10:00 CET More info 👉: ;01/02/2022;Alexandre24;0;0;0;0
Congratulations to our @EORTC fellow @Mat_Guc for his poster release about Real-world patient &amp  treatment characteristics of oligometastatic disease: results of OligoCare at #ESTRO2021.  Learn more about OligoCare: ;01/02/2022;Léo2015;0;0;0;0
Congratulations to our CEO Denis Lacombe for receiving the Honorary Member Award at #ESTRO2021!  Read more about his presentation here:  ;01/04/2022;Gabin2011;0;0;0;0
We are hiring!  At @EORTC we are looking for a new Clinical Data Manager!   You have a degree in the scientific field, some experience in data monitoring and you would like to help the #CancerResearch?  Apply now 🕐: ;01/04/2022;Victoria5;0;0;0;0
Job Alert!  The @EORTC is looking for a new project manager! If you want to join a non-profit organisation in the field of #CancerResearch, apply now️!  More info 👉;01/03/2022;Adrien;0;0;0;0
Highlights from ASCO-GI 2021 from @EORTC Gastrointestinal tract cancer group are available in the @BrJCancer.  Read more here 👉: ;01/04/2022;Valentin2012;51;0;0;0
Save the date!   For Breast Cancer Awareness Month, @BIGagainstBC and the @EORTC organise a webinar for lay people on the following topic: I have metastatic breast cancer: what is my future?  More info 👉;01/04/2022;Ilyes;0;0;34;0
We are excited to announce our partnership with @EORTC to include their assessments into IQVIA's #eCOA library, giving sponsors instant access to pre-configured and author-approved assessments. Learn more about the eCOA library and our partners, here: ;01/01/2022;Victor2014;0;0;0;0
Winette van der Graaf, MD, PhD, Named EORTC President-Elect 2021–2024 ;01/04/2022;Samuel2010;0;0;22;0
Don't miss out on our free webinar: “Clinical Trials - The Patient In Academic Studies”! 2 experts and 2 patient representatives will share their experience on this important subject.  📆 Sept 15, 2021 - 1.30-2.30 CEST 👉 Registrations: ;01/02/2022;Ulysse5;0;0;0;0
Congratulations to Dr Brigitta Baumert who will report on EORTC neuro-oncology / low grade gliomas clinical research activities at the 2021 @SNOSSA1 Conference. ;01/04/2022;Camélia5;0;0;0;0
The @EORTC is hiring!   We are looking for a Radiotherapy Quality Assurance Manager to join our non-profit organisation. If you have experience in radiotherapy in clinical trials, join us!  Apply here 👉: ;01/02/2022;Inaya5;0;0;0;0
Don't miss out on our free webinar: “Clinical Trials - The Patient In Academic Studies”!  2 experts and 2 patient representatives will share their experience on this important subject.   📆 Sept 15, 2021 - 1.30-2.30 CEST 👉 Registrations: ;01/02/2022;Alexis6;78;0;0;0
👉;01/03/2022;Yanis2017;0;0;0;0
Thank you @GatewayforCR for supporting the EORTC 1634 PersoMed-I trial in Post-Pubertal Patients with Newly-Diagnosed Medulloblastoma.  Read more: ;01/02/2022;Anna11;0;0;0;0
New job opening!  We are looking for a Statistical SAS Programmer to join the European Organisation for Research and Treatment of Cancer. If you want to start a meaningful career in the Cancer Research field, don't wait to apply!  More info: ;01/05/2022;Apolline2015;44;0;0;0
New job alert ❕  At @EORTC we are looking for a Analyst Programmer to join us!   If you have degree in computer science or Information System, and you would like to join our non-profit organisation in Brussels, this job might be for you!  Apply here: ;01/03/2022;Clément18;0;0;16;0
Are you passionate about Graphic Design, and keen to further grow as a designer in a dynamic and unique environment while getting exposure to the field of Communications? Then apply for this role today!  More info: ;01/03/2022;Yassine2013;29;145;0;145
To save lives and reduce suffering caused by Europe’s most fatal cancer, @EP_BeatCancer must commit to increase early #LungCancer diagnosis and detection by 20% by 2030 in the #BeatingCancerPlan.   More info: ;01/03/2022;Jules15;0;0;0;0
Looking forward to it! Have you registered yet? ;01/04/2022;Emma26;0;0;0;0
#STATS2021 Want an introduction to the statistical methods used for the design, conduct and analysis of cancer #clinicaltrials? Register now at ;01/03/2022;Zoé2010;0;0;11;0
ESTRO and @EORTC thank all the speakers, recruiting centres represented, and the participants of the #OligoCare Workshop for their valuable contribution to making the workshop a success. A special thank you to Matthias Guckenberger and Piet Ost for leading the workshop. ;01/02/2022;Gabin6;0;0;0;0
Fellowship opportunity!  The @EORTC is looking for a new fellow in Biostatistics for the Melanoma group.  You are passionate about statistics and have interest in cancer clinical research?  Don't wait to apply 👉: ;01/02/2022;Ruben;0;0;0;0
TRIAL UPDATE: First patient was enrolled in the @EORTC 1945 OligoRARE trial in oligometastatic rare cancers  EORTC would like to thank @Anticancerfund and @RisingTideFoundation for their support  More info: ;01/04/2022;Jules2012;27;27;0;108
Don't miss the joined session of @EORTC &amp  ESMO GI today to address the strategic clinical questions and respond to unmet needs in the rapidly-changing gastrointestinal cancer environment!  More info 👉 : ;01/04/2022;Romain2011;0;0;11;0
PRESS RELEASE: @EORTC and @PierreFabre partner  to address Treatment Gap for Stage 2 Melanoma Patients.  Read more 👉: ;01/01/2022;Timéo;0;0;0;0
@EORTC transitions in a new governance! We are pleased to announce that Professor Winette van der Graaf is the new EORTC President-Elect.  More information on the new governance here:  👉;01/01/2022;Valentine8;0;0;0;0
We plan to analyse in the coming 2 years the samples from more than 200 #patients through the complete #IMMUcan broad profiling pipeline, including IF &amp  IMC, shares Marie-Sophie Robert, Project Manager at the @EORTC, on the new IMMUcan partnership with the 1559 UPSTREAM trial: ;01/01/2022;Thomas12;0;0;0;0
Thank you @Sarcoma_UK for your support on @EORTC STRASS 2 clinical trial investigating treatment options for #patients with high-risk retroperitoneal #sarcoma  📄 ;01/03/2022;Tiphaine2011;0;0;0;0
The breast cancer community is suffering from the terrible loss of Professor Di Leo. He was not only a world-renowned oncologist and researcher, but he was a wonderful person, too. Our prayers and thoughts are with his loved ones. ;01/03/2022;Hector;0;0;0;0
Only a few places still available for the @ESTRO_RT - @EORTC OligoCare #workshop! Don’t miss the opportunity to hear from top experts in the field addressing various aspects of oligometastatic disease on 30 June.  Info: ;01/05/2022;Célia2010;0;0;0;0
EORTC in the spotlight of @ASCO annual meeting that took place from 4-8 June.  Find here more information on the seven @EORTC abstracts that were presented at this event : ;01/01/2022;Hugo2015;0;0;0;0
Don't forget to join the presentation of world renowned cancer researcher and @EORTC study coordinator @Silke_Gillessen about the study 1333 on prostate cancer at #ASCO21 today!  📆 Tuesday 8 June 🕐 14:00-17:00 CEST   #ProstateCancer #CancerResearch ;01/04/2022;Yanis2010;0;0;0;0
Don't forget to attend  @DrPatrickRoth's presentation today at the occasion of #ASCO21!  📆 Monday June 7 🕐14:00-17:00 CEST  @EORTC #CancerResearch #BrainCancer #Glioblastoma #BrainTumor #btsm ;01/03/2022;Maya6;0;0;0;0
To all #ASCO21 participants, don't miss today's presentation by Pr Alexander Eggermont, @EORTC member and study coordinator!   📆 Sunday 06 June 🕐 14:00-17:00 CEST  #CancerResearch #pembrolizumab ;01/02/2022;Antoine2012;0;0;0;0
Today, do not miss the presentation of Dr. Josephine Lopes Cardozo, EORTC fellow, for which she has received a #ConquerCancer Merit Award #ASCO21  ⏰8-11 AM EDT (2-5 PM CEST)  #bcsm #BreastCancer ;01/04/2022;Rayan10;0;0;0;0
To all participants of #ASCO21, don't forget to check out the poster about the study lead by Rick Haas and @JJacquesStelmes on the Critical impact of Radiotherapy Protocol Compliance and Quality in the Treatment of Retroperitoneal sarcomas  #CancerResearch #scmsm #sarcoma ;01/02/2022;Gustave6;0;0;0;0
#ASCO21 New poster release today with updated results of @EORTC Phase II trial of Cabazitaxel in metastatic or inoperable locally advanced dedifferentiated #liposarcoma, don't forget to consult it!  All EORTC abstracts: ;01/04/2022;Gaspard2018;0;0;0;0
Phase 3 AMEERA-6 study will evaluate the efficacy and safety of @sanofi’s amcenestrant vs tamoxifen for women with estrogen receptor-positive (ER+) #BreastCancer who were unable to continue their adjuvant aromatase inhibitor (AI) therapy  📢 PR: ;01/04/2022;Manel;0;0;0;0
@SarahPuntoni Dim problem:-);01/04/2022;Valentine2015;44;0;0;0
@SarahPuntoni We will investigate…;01/04/2022;Zoé5;11;0;7;0
@SarahPuntoni Which part of the site are you trying to access?;01/01/2022;Arthur2014;0;0;0;0
📣MCCR Workshop 2021: Don't miss your chance to submit an application. Apply now 😉 📌Deadline: 03 June 2021 📝;01/03/2022;Ethan13;0;0;0;0
#MCCRWorkshop DEADLINE ALERT - Have you submitted your application for a life changing opportunity? ;01/01/2022;Sofia2016;0;0;9;0
#mccrworkshop ;01/04/2022;Adam2015;0;0;0;0
#MCCRWorkshop Application Deadline: 3 June.   The presence of a strong research base is essential to the future of good quality #cancer care. Apply Now for a life-changing opportunity ;01/02/2022;Louise2016;0;0;0;0
#MCCRWorkshop Gain access to world-renowned faculty members who help develop concept sheets into IRB-ready clinical trials Apply NOW ;01/04/2022;Ismaël2016;0;0;0;0
📌Deadline 15 June:  SIOPE-@EORTC Fellow in Paediatric Radiotherapy Quality Assurance👇 ;01/01/2022;Alexis2014;0;0;0;0
#MCCRWorkshop enables the development of peer-to-peer and mentoring relationships to enhance future career development. Apply NOW ;01/04/2022;Alicia2014;0;0;0;0
New paper in the European Journal of Cancer about @EORTC analysis on treatment optimisation studies  ;01/04/2022;Adam30;0;0;6;0
#MCCRWorkshop @WHO estimates clinical shortages in 83 countries &amp  serious shortage of clinical investigators who have the fundamental knowledge to design and conduct effective #clinicaltrials to match. Apply NOW! ;01/03/2022;Sofia2012;0;0;0;0
‼️Intercontinental study #CATNON is out! We are proud to be part of this groundbreaking study, conducted by the the @EORTC. Find out more in @TheLancetOncol  ➡️;01/02/2022;Maëlys2014;0;0;0;0
@cementino Duly noted 😉;01/02/2022;Maël;53;0;0;0
Two papers on #testicular #cancer from the International Germ Cell Cancer Collaborative group (IGCCCG) Update Initiative were recently published in the Journal of Clinical Oncology  Read more about the project: ;01/04/2022;Manon2018;0;0;0;0
@ESTRO_RT and @EORTC invite you to attend the Virtual OligoCare Workshop on 30 June &amp  1 July 2021   Learn about:  👉How to optimise follow-up and data capture in OligoCare  👉Challenging cases treated with SBRT for Oligo-Metastatic Disease    📢;01/04/2022;Elisa5;0;0;0;0
📢 New job opportunity!   @EORTC is looking for a new Operations Director who will oversee the day to day operational functioning of the EORTC #ClinicalTrials  ;01/03/2022;Rafaël5;91;0;0;0
@EORTC_QLG is looking for a Project Officer for Grant Management with an expertise in #Psychology/Quality of Life #research  🧐Check the job offer: ;01/03/2022;Sarah2013;12;0;0;0
Do you have experience in implementation, architecture and development of #Microsoft applications?  EORTC is looking for a Microsoft 365 Analyst Programmer  👨‍💻;01/02/2022;Noah13;68;0;0;0
What Henry said  -) #mccrworkshop ;01/02/2022;Nora5;0;0;0;0
#MCCRWorkshop The Workshop is organised by @EORTC @myESMO and @AACR and has provided training to over 1800 investigators from all over the world since its’ inception in 1999. Apply NOW ;01/02/2022;Salim;40;0;0;0
@SIOPEurope &amp  @EORTC are looking for a fellow in #paediatric #radiotherapy quality assurance. This fellowship aims to improve radiotherapy treatments for children and adolescents.  More info: ;01/02/2022;Eden6;78;0;0;0
“We look forward to continuing to provide the framework for ground-breaking studies and to making a real difference to the lives of #cancer #patients.” Dr. Denis Lacombe  ;01/03/2022;Aurélien2011;0;0;10;0
Denis Lacombe, DG of @EORTC, and Co-Chair of our Health Systems and Treatment Optimisation Network emphasises at @govpt @2021PortugalEU #CancerResearch Summit multiple case studies of European level trial cooperation such as SPECTA ❗️  ℹ️ More info here 👉 ;01/03/2022;Eva12;0;0;0;0
💬 Denis Lacombe, our HSTO Co-chair &amp  DG @EORTC, says more...🔦 He highlights at @2021PortugalEU #CancerResearch Summit that current regulatory &amp  research approaches leave many areas of treatment knowledge under addressed: Dosage Sequence Combination De-escalation possibilities. ;01/04/2022;Louis36;0;0;0;0
🗣️ Precision oncology isn't only about what is new. It's also about making better use of what we already have. - Denis Lacombe   Lacombe also recommended 👇 #Europe should build on the pan European networks it already has, such as @EORTC❗️ @2021PortugalEU #CancerResearch Summit;01/04/2022;Jade18;0;0;0;0
#Scholarship for 3 investigators from institutions which are providing a certain standard of #cancer care and #research, with active participation in #clinical or preclinical/translational research activities.  ;01/02/2022;Gabriel2010;0;0;0;0
Do not miss @ESTRO_RT-@EORTC OligoCare Workshop to learn about the current clinical status and recent scientific developments in the field of #Oligometastatic Disease  📅 30 June (16:00-19:00 CET) &amp  1 July (16:00-17:30 CET)  👉Register: ;01/02/2022;Pénélope5;0;0;0;0
We are pleased to announce the appointment of HRH Princess Dina Mired @dinamired as Honorary President of @EORTC and ECRF.   Together, we look forward to continuing our impact on #cancer #patients around the world.  ;01/03/2022;Raphaël2017;0;0;0;0
You have experience in #patient-reported assessment and/or development of questionnaires in #clinical or #health psychology?   @EORTC_QLG is looking for a fellow: ;01/03/2022;Mathéo2013;0;0;0;0
@EORTC questionnaires will be soon adapted into electronic versions #CancerResearch #QualityOfLife  More info: ;01/02/2022;Margaux13;0;0;0;0
Congratulations to our @EORTC fellow, Dr. Josephine Lopes Cardozo, who has received a Conquer Cancer Merit Award at #ASCO21 for her abstract  📆June 6 ⏰8-11 AM EDT (2-5 PM CEST)  #bcsm #BreastCancer ;01/03/2022;Louis21;0;0;0;0
@RoyalFamily ;01/02/2022;Quentin2013;0;0;0;0
@EORTC and ECRF pays tribute to its 1st Honorary President HRH Prince Philip. He was a strong advocate for the cooperation of UK and Europe to improve the lives of #cancer patients through clinical research.  ;01/02/2022;Camille2012;0;0;0;0
The review was conducted on 480 published and 537 registered trials which included PRO endpoints between 2004 and 2019.  As you can see 👇, measures by the @eortc and @EORTC_QLG are the most frequently used PRO instruments in new reg. trials (Yay🥳). (2/3) ;01/02/2022;Margaux11;0;0;0;0
Do you have experience in data monitoring?   @EORTC is looking for a Clinical Data Manager   ;01/01/2022;Ines2013;74;0;1;0
📢 The registration numbers for #CDDF Multi-Stakeholder Workshop: Endpoints in Cancer Drug Development (26-28 April 2021) are rising!  📋 To view the programme, click here: ;01/02/2022;Valentine6;39;0;0;0
Register for the Inaugural Movember-ICECaP Webinar on 28-29 April   📅@EORTC events of interest : ;01/03/2022;Yacine2013;0;0;0;0
@EORTC is looking for a medical #oncologist with a #clinicalresearch background.   👩‍⚕️👨‍⚕️Take a look at this great opportunity here: ;01/02/2022;Gabriel2017;0;0;0;0
You are a #bioinformatician with a strong interest for #CancerResearch  @EORTC offers a #Fellowship opportunity of 1 year   🧐 Full job description Data Scientist - Bioinformatic/Translational Research ;01/02/2022;Quentin6;0;0;0;0
#BrainTumourAwarenessMonth   Only around 5% of all patients suffering from #glioblastoma may survive for more than five years.   💻Read about how @EORTC ETERNITY study is looking to improve #survival of glioblastoma #patients   ;01/03/2022;Martin;0;0;0;0
We are looking for a Translational Research Operation Manager with at least 4 years of relevant experience (any technical role in #clinicaltrials, or applied #research in #academic, hospital or industry setting)  📢 More info: ;01/05/2022;Laura6;0;0;0;0
#BrainTumourAwarenessMonth  🎥 Watch the interview of M. Weller, @EORTC #BrainTumour Group's Chair  This group develops and designs novel trials that are practice-changing for patients, specifically in the area of diffuse #gliomas and rare brain tumours.   #bcsm #rarecancers ;01/02/2022;Auguste2016;0;0;0;0
Our @EORTC_QLG department is looking for an Assistant to provide support to a few key research projects and activities.   Interested? Apply here: ;01/01/2022;Maëlys2012;0;0;0;0
Another practice changing trial led by the @EORTC Breast Cancer Group ⁦@OncoAlert⁩  ;01/03/2022;Hana2015;0;0;0;0
We are proud to announce the publication of the long-term follow up data from @EORTC landmark #MINDACT de-escalation trial in @TheLancetOncol   ;01/04/2022;Julia2018;0;0;0;0
#InternationalWomensDay   Over 50% of women have leading roles at @EORTC  Thank you  for your commitment and support in fulfilling our mission to improve quality of life and survival of cancer patients! ;01/03/2022;Manel2013;0;0;0;0
Protecting EU Citizens from cross border health threats  EU Stakeholder Group calls for formal adoption of the draft adequacy decision on the UK data protection regime ;01/04/2022;Louis24;0;0;0;0
📢 We are looking for a new Head of Communications.   You are a native English speaker with excellent writing skills and experience within the healthcare industry then apply now!   🧐 ;01/02/2022;Raphaël2017;0;0;0;0
#RareDiseaseDay 1st results of the @EORTC SPECTA/Arcagen project in collaboration with @ERN_EURACAN highlight the need for further fundamental &amp  clinical research in #rarecancers  ;01/03/2022;Maëlys5;0;0;0;0
Insightful meeting with @EORTC on rolling out our #EUCancerPlan.   We want to deliver optimal treatment options to cancer patients through innovative medicines and reducing inequality in access across 🇪🇺.   This is how we can bring hope to them and their families. ;01/02/2022;Romain5;0;0;0;0
“We are grateful for NCI to adapt its CTEP platform requirements, enabling the registration of European clinical investigators without any legal complications from their own home countries,” Dr Lacombe, @EORTC DG  📄 ;01/05/2022;Oscar9;0;0;0;0
Launch of #SISAQOL-IMI that will establish guidance on how to use #PRO  in #cancer clinical trials so that they can be used to ensure a high study quality and a better comparability of results.  📰 ;01/03/2022;Liam20;0;0;0;0
New #milestone: 500 patients enrolled for #OligoCare   More information about this registry project for patients with oligometastatic disease: ;01/03/2022;Wassim2017;0;0;15;0
Listen to the interviews of Hilde, Laura, Facundo, Enrico and Alessandro and discover what it is like to work at @EORTC .  If their #testimonies resonate, visit ;01/04/2022;Jana;0;0;0;0
🇪🇺 The omission of a strategy for treatment optimisation in the #EUCancerPlan is concerning. Treatment optimisation can benefit not only #cancer patients but those in all disease areas, as well as #healthcare systems   ;01/02/2022;Lisa2018;0;0;0;0
@EORTC_QLG is looking for a Support Officer to provide support to a few key research projects and activities.   Interested? Apply here: ;01/04/2022;Faustine5;0;0;0;0
Do you have good organization skills, Master in Life science and at least 2 years experience in the clinical trials environment?  Then our position of Clinical Operations Manager might be for you: ;01/02/2022;Maëlle2016;0;0;0;0
To mark our partner’s 2020 Corporate Social Responsibility report launch, we would like to thank all @WBA_Global employees for supporting the SPECTA platform, the leading translational research infrastructure in Europe across tumour types and #rarecancers  ;01/02/2022;Ibrahim5;0;0;0;0
Do not miss today #webinar: Spotlights on Improving Efficiency in Cancer Care – Optimisation and Efficiency in #CancerCare  Do not miss the speech of the different experts including, Denis Lacombe, @EORTC DG  🗓️Wednesday, 10 Feb ⏰18:00-19:20 (CET) 📢;01/04/2022;Juliette2018;0;0;0;0
@EORTC #members come from 48 countries🌍 around the world and are specialists in over 30 different disciplines conducting clinical research.  ;01/04/2022;Amine2010;0;0;0;0
The 2021 #WorldCancerDay theme is #Iamandiwill- highlighting our personal commitment to act &amp  prevent premature #Cancer death.  #IMMUcan supports global #cancerresearch by its crucial work to understand how the #immunesystem &amp  tumors interact.  Learn more: ;01/03/2022;Ilyes2012;0;0;0;0
📢Today BIG marks #worldcancerday, because we believe that together, all of our actions matter to end #breastcancer. Our vision is that we will find cures for #bc through global research &amp  collaboration 🎗️   👉;01/02/2022;Jeanne2015;0;0;0;0
#WorldCancerDay  📢@EORTC cancer experts throughout Europe gave their insights about the different impacts but also opportunities from the #COVID-19 pandemic on #cancer clinical trials.  👩‍⚕️👨‍⚕️Watch their interviews: ;01/01/2022;Nina12;0;0;0;0
D Lacombe 'we need to re-engineer the drug development journey to access' speaking at the virtual roundtable with  @Biomedalliance on #treatment #optimisation;01/03/2022;Adem5;0;0;0;0
Join us today at 15.00 for our virtual roundtable with @Biomedalliance on #treatment #optimisation, under the lead of moderator @podeuropa, MEPs &amp  experts from the field will discuss what can be done to advance treatment optimisation in health systems  ;01/03/2022;Louis2012;90;0;9;0
Thank you @Anticancerfund and Rising Tide Foundation for supporting the EORTC 1945 OligoRARE trial in oligometastatic rare cancers  ;01/04/2022;Mathys2010;0;0;0;0
The @EORTC clinical operations teams is looking for a new colleague to support them with study-related administrative activities.   Take a look at the position: ;01/02/2022;Léna2017;0;0;0;0
🗣️ @GobbiniElisa, lead author of the abstract presented at the @IASLC World Conference on #LungCancer #WCLC2020 🫁 shares her reflections on the importance of the research being conducted by the #IMMUcan partners:   For more info &amp  the abstract ➡️ ;01/04/2022;Pauline2012;80;0;23;0
How can EU policy pave the way for treatment optimisation &amp  access in health care systems?  Find the answers with Dr Denis Lacombe, Director-General @EORTC  📜 Full presentation: ;01/04/2022;Zayn2018;0;0;0;0
🗓️On Jan 28-31 #IMMUcan will present a poster at the @IASLC 2020 World Conference on Lung #Cancer #WCLC2020 🫁   P53.02 🪧 Integrated Profiling of Advanced Non-Small-Cell #LungCancer: The @EORTC IMMUcan Project #Lung Cohort  Abstract &amp  for more info at ➡️ ;01/02/2022;Sara2010;66;462;0;1848
.@EORTC DG Denis Lacombe speaking at today’s @EP_BeatCancer  hearing: Many questions remain when a #Cancer treatment reaches the clinic. The #EU must act by supporting treatment optimisation so that patients get the cure they deserve.  #cancerpolicy ;01/03/2022;Yanis17;10;0;0;0
Dr Lacombe @EORTC: are we truly patient centric? ;01/02/2022;Agathe2018;0;0;0;0
@EORTC Director General, Denis Lacombe will be speaking about treatment optimisation at the BECA public hearing today! To join please follow the links in the tweet! ;01/04/2022;Alexandre16;0;0;0;0
Don't miss our virtual round table with @EORTC : How can current EU policy initiatives pave the way towards #treatment #optimisation as part of health systems ?  🗓️On 3 February  👥Includes contributions from 4 MEPs &amp  experts from the field 👉Register now: ;01/02/2022;Benjamin2016;0;0;0;0
UPDATE: First patient was randomized in the @EORTC 1809 STRASS II trial in high-risk retroperitoneal #sarcoma, an aggressive and #rarecancer affecting the soft tissues of the body  More info: ;01/02/2022;Camille13;0;0;0;0
@Inivata today announces that the first patients have been tested using InVisionFirst®-Lung as part of the Phase II ALKALINE trial sponsored by @EORTC   More info: ;01/05/2022;Kamil;69;0;0;0
